,Channel,Hubness
0,92,22.50445852893857
1,80,20.917910036738203
2,83,20.21152754983563
3,95,19.798153081963083
4,94,19.47113325937989
5,86,19.314535175695138
6,50,18.785123212810777
7,87,18.08463301052402
8,84,17.818811310220806
9,82,17.339478670051648
10,71,17.33811063927415
11,91,16.18720844689913
12,2,16.10930740879239
13,38,15.689068201827144
14,30,15.133149548515872
15,93,14.663641704288068
16,42,14.368220473236228
17,11,14.219922018898862
18,29,14.022142730308476
19,23,13.927701359380846
20,27,13.763057778639157
21,89,13.448632212600682
22,63,13.012266664651682
23,59,12.727698613941142
24,54,12.640363907872167
25,15,12.432447738761564
26,85,12.38928791675399
27,31,12.000044056430484
28,76,11.756281160830262
29,78,11.752101727692459
30,55,11.722348179006376
31,40,11.552402158872653
32,81,11.335642594061264
33,48,11.077137482854315
34,52,11.03294507147472
35,21,10.799864428126243
36,43,10.720243351103178
37,61,10.470852394231228
38,75,10.336793730341908
39,57,10.267050203558124
40,77,10.248004043689958
41,88,10.21360833126786
42,72,10.046060088913617
43,3,9.918182647772547
44,69,9.869419026899175
45,28,9.675064165482725
46,62,9.591376822798418
47,67,9.569377628073697
48,18,9.399097691702616
49,60,9.113589003723556
50,32,9.084491275114228
51,51,9.034802159577369
52,24,9.020605294478344
53,17,8.689085301338597
54,41,8.674408403312162
55,34,8.6309265663367
56,46,8.562542347124786
57,8,8.479277480912408
58,37,8.402317903942642
59,44,8.234879344716717
60,74,8.219752872966408
61,56,8.20420270004279
62,58,8.157030406816544
63,13,8.041806288988848
64,26,7.8150686944854435
65,19,7.673148209552824
66,9,7.64436936350065
67,10,7.576422134253018
68,79,7.529595056267771
69,20,7.414459110464347
70,73,7.354644325497768
71,25,7.346270205816829
72,12,7.3166842435976855
73,14,7.219977456208615
74,22,7.208524851277962
75,65,6.643289007565096
76,0,6.6316441072065055
77,70,6.417974392197459
78,5,6.209880615317843
79,90,6.160439803976177
80,53,6.107625075377745
81,49,6.091200364571772
82,4,5.69575738298929
83,39,5.691728684580071
84,33,4.952147180464829
85,45,4.210676148688901
86,16,4.081525972211053
87,68,4.034759430633545
88,36,3.6046314784849587
89,6,3.5966931419113513
90,1,3.4652342252599997
91,7,3.180321044546975
92,35,3.134522342578576
93,66,2.943300755696224
94,47,2.7445586979570034
95,64,0.5137134209348448
